"id","avg_time_in_bed","avg_minutes_asleep","avg_minutes_taken_to_sleep","user_number"
2320127002,69,61,3,6
4558609924,140,127.6,7.4,13
1644430081,346,294,47,2
6775888955,369,349.666666666667,14.3333333333333,18
4020332650,379.75,349.375,25.375,9
1503960366,383.2,360.28,17.92,1
4445114986,416.821428571429,385.178571428571,26.6428571428571,12
4388161847,426.208333333333,403.125,18.0833333333333,11
1927972279,437.8,417,15.8,4
4702921684,441.964285714286,421.142857142857,15.8214285714286,14
8792009665,453.8,435.666666666667,13.1333333333333,22
5577150313,460.615384615385,432,23.6153846153846,16
3977333714,461.142857142857,293.642857142857,162.5,8
6962181067,466.129032258065,448,13.1290322580645,19
7086361926,466.416666666667,453.125,8.29166666666667,20
8378563200,483.3125,443.34375,34.96875,21
2347167796,491.333333333333,446.8,39.5333333333333,7
4319703577,501.961538461538,476.653846153846,20.3076923076923,10
5553957443,505.870967741935,463.483870967742,37.3870967741936,15
6117666160,510.166666666667,478.777777777778,26.3888888888889,17
2026352035,537.642857142857,506.178571428571,26.4642857142857,5
1844505072,961,652,304,3
